time, light, accx, accy, accz,
13.056, 1.37257, 0.000133879, 0.0193538, 9.82129, 
13.088, 1.37797, 0.111469, -0.00269983, 9.84627, 
13.12, 1.37488, 0.00611294, -0.0315386, 9.80795, 
13.152, 1.38257, 0.0354444, 0.0514959, 9.8546, 
13.184, 1.38312, -0.016405, -0.0681763, 9.79277, 
13.216, 1.38341, -0.0286106, -0.0545763, 9.84917, 
13.248, 1.37986, -0.0207988, -0.0886289, 9.82806, 
13.28, 1.37264, -0.0573235, 0.0253974, 9.74515, 
13.312, 1.38235, 0.0767666, -0.0413411, 9.846, 
13.344, 1.37386, -0.00928068, 0.029558, 9.72328, 
13.376, 1.37451, -0.0394253, -0.0239181, 9.76796, 
13.408, 1.38116, -0.011511, 0.0702058, 9.81302, 
13.44, 1.37195, 0.0231713, -0.0072428, 9.86671, 
13.472, 1.37748, 0.0528779, 0.0255337, 9.85314, 
13.504, 1.37538, 0.00997571, 0.0171107, 9.78825, 
13.536, 1.38095, -0.0150591, 0.00504431, 9.7776, 
13.568, 1.38111, -0.0407628, 0.0499216, 9.77164, 
13.6, 1.38151, 0.0477888, 0.144334, 9.78265, 
13.632, 1.37248, 0.0376452, 0.0348946, 9.76065, 
13.664, 1.37803, -0.0678556, 0.0297274, 9.83263, 
13.696, 1.37424, -0.0219926, 0.0791911, 9.76704, 
13.728, 1.37298, 0.00166883, -0.0301654, 9.86624, 
13.76, 1.38266, -0.0844665, 0.00199958, 9.88098, 
13.792, 1.38174, 0.0405634, 0.020253, 9.72374, 
13.824, 1.37907, 0.0112108, -0.103042, 9.83162, 
13.856, 1.37633, 0.0366575, -0.0311194, 9.81995, 
13.888, 1.37957, 0.0448033, -8.80582e-05, 9.70733, 
13.92, 1.37964, 0.0631233, 0.00843921, 9.74788, 
13.952, 1.37715, -0.112248, -0.123669, 9.88719, 
13.984, 1.37341, -0.00901044, 0.0217212, 9.8346, 
14.016, 1.37762, 0.0183866, 0.0402284, 9.8149, 
